Date,Open,High,Low,Close,Volume,Change
2021-06-30,415000,425000,409000,417500,955297,0.014580801944106936
2021-07-01,418000,423500,410500,413000,592869,-0.010778443113772407
2021-07-02,412500,418500,407000,414000,517934,0.002421307506053294
2021-07-05,415500,418000,408500,410000,492899,-0.009661835748792313
2021-07-06,411500,412500,408000,409500,342771,-0.0012195121951219523
2021-07-07,411000,419000,410500,417500,663260,0.019536019536019467
2021-07-08,419000,431500,418500,422000,1142267,0.010778443113772518
2021-07-09,420000,424000,408000,415500,1090218,-0.0154028436018957
2021-07-12,418500,421500,413000,418500,475697,0.0072202166064982976
2021-07-13,421000,442000,419000,441000,1498546,0.053763440860215006
2021-07-14,436000,444500,436000,444000,931990,0.006802721088435382
2021-07-15,446500,452500,439500,449000,950460,0.011261261261261257
2021-07-16,448000,461000,443000,447000,1246425,-0.0044543429844098315
2021-07-19,443000,449500,438500,443000,704307,-0.008948545861297563
2021-07-20,438500,441500,431000,439000,789090,-0.009029345372460473
2021-07-21,443000,446000,428000,428000,885519,-0.02505694760820043
2021-07-22,433000,445000,429000,440000,1035882,0.028037383177569986
2021-07-23,443500,454500,441000,452000,1094026,0.027272727272727337
2021-07-26,460000,465000,447500,452000,855277,0.0
2021-07-27,457500,463000,452000,452000,757638,0.0
2021-07-28,446000,447000,440000,442000,913055,-0.02212389380530977
2021-07-29,444000,445000,438500,439500,556532,-0.005656108597285048
2021-07-30,438000,440500,433000,433500,628812,-0.013651877133105783
2021-08-02,429000,437000,428500,433500,551937,0.0
2021-08-03,439000,439000,422000,428000,830841,-0.012687427912341454
2021-08-04,425000,434500,423000,433000,545873,0.011682242990654235
2021-08-05,442000,451500,438500,442500,744924,0.021939953810623525
2021-08-06,443000,447500,440500,444500,416829,0.004519774011299438
2021-08-09,438000,449000,435000,447500,528032,0.006749156355455588
2021-08-10,446000,453500,442500,446500,461940,-0.0022346368715083775
2021-08-11,445000,449000,442000,445000,446275,-0.0033594624860022737
2021-08-12,448000,448500,438000,440500,671083,-0.010112359550561778
2021-08-13,445000,446000,433000,436500,515855,-0.009080590238365494
2021-08-17,435500,437500,420000,428500,763564,-0.018327605956471982
2021-08-18,429500,433500,421500,429000,496576,0.001166861143523823
2021-08-19,431000,434000,424500,424500,504352,-0.010489510489510523
2021-08-20,425000,432000,421000,422500,587940,-0.004711425206124886
2021-08-23,428000,436000,423500,429500,515679,0.016568047337278013
2021-08-24,435000,439000,431500,437500,546884,0.0186263096623982
2021-08-25,434000,439000,427000,430500,677224,-0.016000000000000014
2021-08-26,427500,430500,420000,423500,645901,-0.016260162601625994
2021-08-27,422000,423500,416500,420000,567004,-0.008264462809917328
2021-08-30,425500,429000,423000,428000,399336,0.01904761904761898
2021-08-31,430000,439500,427000,439000,768823,0.025700934579439227
2021-09-01,442000,448500,436500,445000,655075,0.013667425968109326
2021-09-02,445500,448500,439500,442500,431529,-0.005617977528089901
2021-09-03,442500,452500,441000,452500,646199,0.02259887005649719
2021-09-06,452500,454500,445500,454000,368743,0.0033149171270718814
2021-09-07,450500,453000,444000,444500,356293,-0.020925110132158586
2021-09-08,437500,439000,408000,409500,2470864,-0.07874015748031493
2021-09-09,400500,406000,396000,399000,1972500,-0.02564102564102566
2021-09-10,398000,416500,398000,410000,1326870,0.027568922305764465
2021-09-13,405000,414000,402500,408000,771749,-0.004878048780487809
2021-09-14,403500,406500,393500,402500,1636660,-0.013480392156862697
2021-09-15,403000,409500,400000,400500,730616,-0.004968944099378869
2021-09-16,405000,410000,401000,402000,614987,0.0037453183520599342
2021-09-17,404500,405000,397500,403000,558566,0.0024875621890547706
2021-09-23,400500,401500,397500,400000,615295,-0.007444168734491274
2021-09-24,398500,406000,398000,405500,574341,0.013749999999999929
